2025-07-21 10:08:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:09:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:10:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:11:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:12:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:13:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:14:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:15:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:16:38, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:19:45, Gas Value: 632, PPM: 771.7, LEL: 15.4%, 4-20mA: 6.5, Status: WARNING!
2025-07-21 10:20:45, Gas Value: 646, PPM: 788.8, LEL: 15.8%, 4-20mA: 6.5, Status: WARNING!
2025-07-21 10:21:45, Gas Value: 655, PPM: 799.8, LEL: 16.0%, 4-20mA: 6.6, Status: WARNING!
2025-07-21 10:22:45, Gas Value: 642, PPM: 783.9, LEL: 15.7%, 4-20mA: 6.5, Status: WARNING!
2025-07-21 10:23:45, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:24:45, Gas Value: 874, PPM: 1067.2, LEL: 21.3%, 4-20mA: 7.4, Status: DANGER!
2025-07-21 10:25:45, Gas Value: 1353, PPM: 1652.0, LEL: 33.0%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 10:26:45, Gas Value: 1348, PPM: 1645.9, LEL: 32.9%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 10:27:45, Gas Value: 2062, PPM: 2517.7, LEL: 50.4%, 4-20mA: 12.1, Status: DANGER!
2025-07-21 10:28:45, Gas Value: 4095, PPM: 5000.0, LEL: 100.0%, 4-20mA: 20.0, Status: DANGER!
2025-07-21 10:29:45, Gas Value: 4095, PPM: 5000.0, LEL: 100.0%, 4-20mA: 20.0, Status: DANGER!
2025-07-21 10:30:45, Gas Value: 4095, PPM: 5000.0, LEL: 100.0%, 4-20mA: 20.0, Status: DANGER!
2025-07-21 10:35:40, Gas Value: 0, PPM: 0.0, LEL: 0.0%, 4-20mA: 4.0, Status: SAFE
2025-07-21 10:36:40, Gas Value: 143, PPM: 174.6, LEL: 3.5%, 4-20mA: 4.6, Status: WARNING!
2025-07-21 10:37:40, Gas Value: 136, PPM: 166.1, LEL: 3.3%, 4-20mA: 4.5, Status: WARNING!
2025-07-21 10:38:40, Gas Value: 134, PPM: 163.6, LEL: 3.3%, 4-20mA: 4.5, Status: WARNING!
2025-07-21 10:39:40, Gas Value: 125, PPM: 152.6, LEL: 3.1%, 4-20mA: 4.5, Status: WARNING!
2025-07-21 10:40:40, Gas Value: 139, PPM: 169.7, LEL: 3.4%, 4-20mA: 4.5, Status: WARNING!
2025-07-21 10:41:40, Gas Value: 144, PPM: 175.8, LEL: 3.5%, 4-20mA: 4.6, Status: WARNING!
2025-07-21 10:42:40, Gas Value: 140, PPM: 170.9, LEL: 3.4%, 4-20mA: 4.5, Status: WARNING!
2025-07-21 10:43:40, Gas Value: 136, PPM: 166.1, LEL: 3.3%, 4-20mA: 4.5, Status: WARNING!
2025-07-21 10:44:40, Gas Value: 389, PPM: 475.0, LEL: 9.5%, 4-20mA: 5.5, Status: WARNING!
2025-07-21 10:45:40, Gas Value: 368, PPM: 449.3, LEL: 9.0%, 4-20mA: 5.4, Status: WARNING!
2025-07-21 10:46:40, Gas Value: 624, PPM: 761.9, LEL: 15.2%, 4-20mA: 6.4, Status: WARNING!
2025-07-21 10:47:40, Gas Value: 608, PPM: 742.4, LEL: 14.8%, 4-20mA: 6.4, Status: WARNING!
2025-07-21 10:48:40, Gas Value: 613, PPM: 748.5, LEL: 15.0%, 4-20mA: 6.4, Status: WARNING!
2025-07-21 10:49:40, Gas Value: 631, PPM: 770.5, LEL: 15.4%, 4-20mA: 6.5, Status: WARNING!
2025-07-21 10:50:40, Gas Value: 619, PPM: 755.8, LEL: 15.1%, 4-20mA: 6.4, Status: WARNING!
2025-07-21 10:51:40, Gas Value: 1360, PPM: 1660.6, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 10:52:40, Gas Value: 1360, PPM: 1660.6, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 10:53:40, Gas Value: 1345, PPM: 1642.2, LEL: 32.8%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 10:54:40, Gas Value: 1347, PPM: 1644.7, LEL: 32.9%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 10:55:40, Gas Value: 1357, PPM: 1656.9, LEL: 33.1%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 10:56:40, Gas Value: 1333, PPM: 1627.6, LEL: 32.6%, 4-20mA: 9.2, Status: DANGER!
2025-07-21 10:57:40, Gas Value: 1356, PPM: 1655.7, LEL: 33.1%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 10:58:40, Gas Value: 1340, PPM: 1636.1, LEL: 32.7%, 4-20mA: 9.2, Status: DANGER!
2025-07-21 10:59:40, Gas Value: 1344, PPM: 1641.0, LEL: 32.8%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:00:40, Gas Value: 1359, PPM: 1659.3, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:01:40, Gas Value: 1361, PPM: 1661.8, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:02:40, Gas Value: 1360, PPM: 1660.6, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:03:40, Gas Value: 1365, PPM: 1666.7, LEL: 33.3%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:04:40, Gas Value: 1338, PPM: 1633.7, LEL: 32.7%, 4-20mA: 9.2, Status: DANGER!
2025-07-21 11:05:40, Gas Value: 1343, PPM: 1639.8, LEL: 32.8%, 4-20mA: 9.2, Status: DANGER!
2025-07-21 11:06:40, Gas Value: 1358, PPM: 1658.1, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:07:40, Gas Value: 1359, PPM: 1659.3, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:08:40, Gas Value: 1359, PPM: 1659.3, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:09:40, Gas Value: 1370, PPM: 1672.8, LEL: 33.5%, 4-20mA: 9.4, Status: DANGER!
2025-07-21 11:10:40, Gas Value: 1343, PPM: 1639.8, LEL: 32.8%, 4-20mA: 9.2, Status: DANGER!
2025-07-21 11:11:40, Gas Value: 1351, PPM: 1649.6, LEL: 33.0%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:12:40, Gas Value: 1358, PPM: 1658.1, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:13:40, Gas Value: 1360, PPM: 1660.6, LEL: 33.2%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:14:40, Gas Value: 1349, PPM: 1647.1, LEL: 32.9%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:15:40, Gas Value: 1339, PPM: 1634.9, LEL: 32.7%, 4-20mA: 9.2, Status: DANGER!
2025-07-21 11:16:40, Gas Value: 1355, PPM: 1654.5, LEL: 33.1%, 4-20mA: 9.3, Status: DANGER!
2025-07-21 11:17:40, Gas Value: 2322, PPM: 2835.2, LEL: 56.7%, 4-20mA: 13.1, Status: DANGER!
2025-07-21 11:18:40, Gas Value: 2304, PPM: 2813.2, LEL: 56.3%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:19:40, Gas Value: 2303, PPM: 2812.0, LEL: 56.2%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:20:40, Gas Value: 2311, PPM: 2821.7, LEL: 56.4%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:21:40, Gas Value: 2293, PPM: 2799.8, LEL: 56.0%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:22:40, Gas Value: 2331, PPM: 2846.2, LEL: 56.9%, 4-20mA: 13.1, Status: DANGER!
2025-07-21 11:23:40, Gas Value: 2298, PPM: 2805.9, LEL: 56.1%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:24:40, Gas Value: 2330, PPM: 2844.9, LEL: 56.9%, 4-20mA: 13.1, Status: DANGER!
2025-07-21 11:25:40, Gas Value: 2320, PPM: 2832.7, LEL: 56.7%, 4-20mA: 13.1, Status: DANGER!
2025-07-21 11:26:40, Gas Value: 2298, PPM: 2805.9, LEL: 56.1%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:27:40, Gas Value: 2301, PPM: 2809.5, LEL: 56.2%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:28:40, Gas Value: 2320, PPM: 2832.7, LEL: 56.7%, 4-20mA: 13.1, Status: DANGER!
2025-07-21 11:29:40, Gas Value: 2317, PPM: 2829.1, LEL: 56.6%, 4-20mA: 13.1, Status: DANGER!
2025-07-21 11:30:40, Gas Value: 2299, PPM: 2807.1, LEL: 56.1%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:31:40, Gas Value: 2304, PPM: 2813.2, LEL: 56.3%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:32:40, Gas Value: 2305, PPM: 2814.4, LEL: 56.3%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:33:40, Gas Value: 2305, PPM: 2814.4, LEL: 56.3%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:34:40, Gas Value: 2317, PPM: 2829.1, LEL: 56.6%, 4-20mA: 13.1, Status: DANGER!
2025-07-21 11:35:40, Gas Value: 2315, PPM: 2826.6, LEL: 56.5%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:36:40, Gas Value: 2314, PPM: 2825.4, LEL: 56.5%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 11:37:40, Gas Value: 2309, PPM: 2819.3, LEL: 56.4%, 4-20mA: 13.0, Status: DANGER!
2025-07-21 10:23:42, Gas Value: 30, PPM: 36.6, LEL: 0.7%, 4-20mA: 4.1, Status: SAFE
